[host] embedded mode: perry staticlib in-process
[host] perry_module_init done in 15.8892ms
[host] frontend hello: {"t":"hello","proto":1,"title":"PerryTS × GPUI"}
[host] window opened
FLUSH 1790015186830 n=239
FLUSH 1790015186998 n=2
FLUSH 1790015187499 n=3
FLUSH 1790015188014 n=2
FLUSH 1790015188515 n=3
FLUSH 1790015189031 n=2
FLUSH 1790015189529 n=1
FLUSH 1790015189548 n=2
FLUSH 1790015190064 n=2
FLUSH 1790015190547 n=1
FLUSH 1790015190565 n=2
FLUSH 1790015191080 n=2
FLUSH 1790015191564 n=1
FLUSH 1790015191597 n=2
FLUSH 1790015192096 n=2
FLUSH 1790015192563 n=1
FLUSH 1790015192596 n=2
FLUSH 1790015193107 n=2
FLUSH 1790015193579 n=1
FLUSH 1790015193610 n=2
FLUSH 1790015194113 n=2
FLUSH 1790015194579 n=1
FLUSH 1790015194631 n=2
FLUSH 1790015195129 n=2
FLUSH 1790015195580 n=1
FLUSH 1790015195647 n=2
FLUSH 1790015196148 n=2
FLUSH 1790015196596 n=1
FLUSH 1790015196647 n=2
FLUSH 1790015197147 n=2
FLUSH 1790015197612 n=1
FLUSH 1790015197663 n=2
FLUSH 1790015198180 n=2
FLUSH 1790015198631 n=1
FLUSH 1790015198698 n=2
FLUSH 1790015199197 n=2
FLUSH 1790015199631 n=1
FLUSH 1790015199714 n=2
FLUSH 1790015200231 n=2
FLUSH 1790015200647 n=1
FLUSH 1790015200730 n=2
FLUSH 1790015201247 n=2
FLUSH 1790015201648 n=1
FLUSH 1790015201763 n=2
FLUSH 1790015202264 n=2
FLUSH 1790015202651 n=1
FLUSH 1790015202781 n=2
FLUSH 1790015203280 n=2
FLUSH 1790015203663 n=1
FLUSH 1790015203795 n=2
FLUSH 1790015204296 n=2
FLUSH 1790015204663 n=1
FLUSH 1790015204796 n=2
FLUSH 1790015205310 n=2
FLUSH 1790015205669 n=1
FLUSH 1790015205824 n=2
FLUSH 1790015206333 n=2
FLUSH 1790015206673 n=1
